,uri,track_name,artist,explicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,lyrics
20,spotify:track:2gyxAWHebV7xPYVxqoi86f,get him back!,Olivia Rodrigo,True,0.546,0.846,5,-5.719,0.181,0.0135,0.0,0.607,0.74,162.043,92,
21,spotify:track:5twSy6ffBrF03mnNUsUgJZ,Need A Favor,Jelly Roll,False,0.504,0.771,6,-4.231,0.0319,0.0123,1.89e-05,0.078,0.555,157.985,80,"[Chorus]I only talk to God when I need a favorAnd I only pray when I ain't got a prayerSo who the hell am I, who the hell am I to expect a savior, ohIf I only talk to God when I need a favor?But, God, I need a favor[Verse 1]I know amazin' grace, but I ain't been livin' them wordsSwear I spend most SundaysDrunk off my ass than I have at churchHard cover King JamesOnly been savin' dust on the nightstandAnd I don't know what to sayBy the time I fold my hands[Chorus]I only talk to God when I need a favorAnd I only pray when I ain't got a prayerSo who the hell am I, who the hell am I to expect a savior, ohIf I only talk to God when I need a favor?But, God, I need a favor[Post-Chorus]Amen, amen"
22,spotify:track:0Nfh4u0J4bajcyp5pzaWCx,Used To Be Young,Miley Cyrus,False,0.451,0.632,4,-3.843,0.0475,0.6,0.0,0.139,0.455,147.06,84,"[Verse 1]The truth is bulletproof, there's no foolin' youI don't dress the sameMe and who you say I was yesterdayHave gone our separate waysLeft my livin' fast somewhere in the past'Cause that's for chasin' carsTurns out open bars lead to broken heartsAnd goin' way too far[Chorus]I know I used to be crazyI know I used to be funYou say I used to be wildI say I used to be youngYou tell me time has done changed meThat's fine, I've had a good runI know I used to be crazyThat's 'causе I used to be young[Verse 2]Take onе, pour it out, it's not worth cryin' 'boutThe things you can't eraseLike tattoos and regrets, words I never meantAnd ones that got awayLeft my livin' fast somewhere in the pastAnd took another roadTurns out crowded rooms empty out as soonThere's somewhere else to go, oh-oh"
23,spotify:track:3kfhS2L56Wj8fBcu7xE47H,Turks & Caicos (feat. 21 Savage),Rod Wave,True,0.544,0.496,0,-12.032,0.21,0.13,0.0,0.166,0.314,103.148,79,
24,spotify:track:2z2gqgwu1GCurpZJYzcytE,Boyz Don't Cry,Rod Wave,False,0.741,0.509,10,-12.639,0.0532,0.0761,2.9e-06,0.114,0.345,152.078,75,
25,spotify:track:02Zkkf2zMkwRGQjZ7T4p8f,Anti-Hero,Taylor Swift,False,0.638,0.634,4,-6.582,0.0457,0.133,1.23e-06,0.152,0.519,96.953,72,"[Verse 1]I have this thing where I get older, but just never wiserMidnights become my afternoonsWhen my depression works the graveyard shift, all of the peopleI've ghosted stand there in the room[Pre-Chorus]I should not be left to my own devicesThey come with prices and vicesI end up in crisis(Tale as old as time)I wake up screaming from dreamingOne day, I'll watch as you're leaving'Cause you got tired of my scheming(For the last time)[Chorus]It's me, hiI'm the problem, it's meAt teatime, everybody agreesI'll stare directly at the sun, but never in the mirrorIt must be exhausting always rooting for the anti-hero[Verse 2]Sometimes, I feel like everybody is a sexy babyAnd I'm a monster on the hillToo big to hang out, slowly lurching toward your favorite cityPierced through the heart, but never killed"
26,spotify:track:3OHfY25tqY28d16oZczHc8,Kill Bill,SZA,False,0.644,0.728,8,-5.75,0.0351,0.0543,0.169,0.161,0.43,88.993,86,"[Verse 1]I'm still a fan even though I was saltyHate to see you with some other broad, know you happyHate to see you happy if I'm not the one drivin'[Pre-Chorus]I'm so mature, I'm so matureI'm so mature, I got me a therapist to tell me there's other menI don't want none, I just want youIf I can't have you, no one should[Chorus]I mightI might kill my ex, not the best ideaHis new girlfriend's next, how'd I get here?I might kill my ex, I still love him thoughRather be in jail than alone[Verse 2]I get the sense that it's a lost causeI get the sense that you might really love herThis text gon' be evidence, this text is evidenceI tried to ration with you, no murders or crime of passion, but damnYou was out of reachYou was at the farmer's market with your perfect peachNow I'm in the basement plannin' home invasionNow you layin' face-down, got me singin' over a beat"
27,spotify:track:4aA7Lrm6rLGHx5kRMVb7NU,Fight The Feeling,Rod Wave,True,0.634,0.538,0,-9.213,0.0603,0.0514,0.0,0.099,0.152,168.029,73,"[Intro]Look, oh, woahUh, okay[Verse]Women, how'd you get so good at hiding your feelings?Pretending, pretending you're fine when really you're bendingYou can't keep patching up your pain taking shots at the barKnow exactly how you feel, I know what's in your heartYoung nigga came a long way with so many scarsFinally found a brighter day from being lost in the darkBut she don't wanna hear that tonight (Oh no)Play something that's feeling right (Oh no)She tryna get lit tonight (Oh no)Get lost in the city lights (Oh no)Her heart still broken but she's in denialShe need her grandmama to watch her childHer make-up covers up her broken smileYou're livin' on lies, hurtin' insidе but she's outside[Chorus]So get your hair did, put your clothеs onTell the DJ to play your song (Play your song)Tryna fight the feeling, but she never finished healingNow you in the middle of the club, tryin' not to cry to a love songIn the middle of the club, tryin' not to cry to a love song, woahTo a love song, woah, to a love songNow you in the middle of the club, tryin' not to cry to a love songTo a love song (To a love song)Uh, to a love song (To a love song)Now you in the middle of the club, tryin' not to cry to a love songTo a love song (To a love song, oh)To a love song (To a love song)Ayy, yeahAyy, yeahOh"
28,spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,False,0.444,0.0911,0,-17.665,0.0307,0.959,1.05e-06,0.098,0.142,78.403,96,
29,spotify:track:4M68xjcc42oxyphhzpOWXS,Great Gatsby,Rod Wave,True,0.67,0.555,1,-9.12,0.0908,0.0382,6.36e-06,0.414,0.16,156.937,76,"[Intro: Geo Vocals](Pipe that shit up, TnT)I tell myself, ""It'll be alright""Now it's 3 A.M. and I still got no replyBut I spend my nights alone(Trill got that juice, nigga)By myself, just another lonely dayDo I need help, because this ache won't go away?These shadows on my wall, my only curtain callThe crowd goes silent nowWaiting for you[Verse 1]Where you at right now? Let me pull up and let's talk about itI finally got some time alone and I thought about itI swear to God your love is war, it's so much I can takeI been thuggin' for so long, bae, give me a breakLate nights, I reminisce about you, it's hard to forget about youI swear I can't live with you, but I can't live without youJump off a plane on an island and I'm here without youAin't left my hotel in three days, I feel sick without you, sick without youMy stomach do this turning, I feel sick without youMy closest friend my worst enemyI'm not okay when we apart, but I pretend to be, I[Chorus]I threw the party of the centuryAnd people came over, no one left soberAnd it was all for youIt was all for youI been under this rock for so long, don't let the world inClose the door, don't let the world inLet's go and hide in againRekindle our flame and light my fire againOh, come light my fire again"
