,Unnamed: 0,uri,track_name,artist,explicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,lyrics
52,52,spotify:track:5CzK4nw6SEOwx9rK1fs6eX,back to the start,Gloria Kim,False,0.472,0.81,1,-8.022,0.0604,0.0856,4.06e-05,0.166,0.137,100.249,49,"[Verse 1]All of the dreams that we sharedThat we heldUnder stars so young and reckless with you babeNot too long agoWe’d talk about life in LABuy a houseStart a family in the city with you babeTell me how’d we go our separate way[Pre]When I gave it all just to wreck your doubtsGuess they wouldn’t burn out[Hook]So how do we go from strangersTo lovers than back to strangers over timeDidn’t I, didn’t I, didn’t I know any betterNow we don’t know each otherAnd you’re just another reminder of the heistThen it’s back to the start again[Post]Ooo[Verse 2]And every moment since youI wonder if we meant toFall apartWhen sometime agoWe’d sit out on your roof topMake out in some parking lotWe played our partTell me how’d we go our separate way"
53,53,spotify:track:2NbsBSshscKIPRG3kwBbfo,Never Felt So Alone,Labrinth,False,0.436,0.409,5,-4.438,0.0533,0.499,0.000166,0.38,0.363,98.357,78,"[Intro: Labrinth]Oh-oh, oh-ohOh-oh, oh-oh[Chorus: Labrinth, Labrinth & Billie Eilish]And I never felt so alone, felt so alone, na-naAnd I never felt so alone, felt so alone, na-naAnd I never felt so alone, felt so alone, na-naAnd I never felt so alone, felt so alone, na-na[Verse 1: Labrinth, Labrinth & Billie Eilish, Billie Eilish]In a whip (Woah), thinkin', ""What if (Woah)You and this (Woah) never existed?""Hollow kiss (Woah), bottle liquor (Oh)Man, I'm sick, man, I'm schizo[Pre-Chorus: Labrinth, Labrinth & Billie Eilish]All white leatherYou know this man ain't shit without you in the interior (I'm dyin' somewhere in the dark)All white leatherAnd I think, ""What if we weren't ridin' and dyin' together?""The whole world would fall apart[Chorus: Labrinth & Billie Eilish, Billie Eilish, Labrinth]And I never felt so alone, felt so alone, na-na (Never felt so alone, woo! Alone)And I never felt so alone, felt so alone, na-na"
54,54,spotify:track:4TNFLwe6DhtR3Wn1JKMqMJ,Makeba,Jain,False,0.825,0.663,2,-9.414,0.0687,0.423,0.415,0.286,0.417,116.051,79,"[Intro]Ooh-eeOoh-ee[Chorus]Ooh-ee, MakebaMakeba, ma che bellaCan I get a ""ooh-ee""? MakebaMakes my body dance for youOoh-ee, MakebaMakeba, ma che bellaCan I get a ""ooh-ee""? MakebaMakes my body dance for youOoh-ee, MakebaMakeba, ma che bellaCan I get a ""ooh-ee""? MakebaMakes my body dance for youOoh-ee, MakebaMakeba, ma che bellaCan I get a ""ooh-ee""? MakebaMakes my body dance for you[Verse 1]I wanna hear your breath just next to my soulI wanna feel oppressed without any restI wanna see you sing, I wanna see you fight'Cause you are the real beauty of human right"
59,59,spotify:track:5L3ecxQnQ9qTBmnLQiwf0C,K-POP,Travis Scott,True,0.814,0.618,5,-5.614,0.0619,0.0386,3.34e-06,0.671,0.535,121.075,87,"[Intro: Travis Scott]Gonna pop, babyVemo'[Verse 1: Travis Scott]Swish, lit (Lit)Move that shit out here (Here)You full off one sip (Sip)Fallin' off but I got grip (Grip)All around the trap, it hit (Hit, hit, ayy)All around the map, you trip (Skrrt)Take it like nine out of ten (Yeah)Think they gon' find that againThink I gotta bond out againBehind the tint, I sin, I ventCan't forget about that place we wentRight after you put that in my headDo you still pop 'em? Do you dance?Do you still drop some'? Know you canI got a lot but I'm still chancin'[Verse 2: Bad Bunny]Yeah-yeah, yeah, yeahHace tiempo no te veo, ehEs que ahora en Miami jangueo, eh, ehYa no tengo la RodeoAhora en la G-Wagon me posteo, eyY te lo meto al frente 'e la playaComo aquello' tiempo' de camino a MayaTú ni fumaba' y chingando te arrebatéDale, no pierdas tiempo, no lo piense', trépateTú bien loca, loca, yo bien loco, locoSi ahora tu mai nos pilla, me pide una fotoLa nota me explota, el ticke' lo explotoVamo' pa' Cayo Musha, ya le texteé al piloto, eh-eh"
60,60,spotify:track:2N0SPREDYqILVEFSsWF5N5,Love Me Again,V,False,0.633,0.607,0,-6.182,0.0532,0.183,1.38e-06,0.167,0.363,74.029,91,"[뷔 ""Love Me Again"" 가사][Verse 1]추억도 의미 없이내게 넌 사라지고이쯤에도 I can't let you go, let you go그 말이 다인 거니?한마디만 남기고?후회하면Won't you let me know?Let me know?[Pre-Chorus]그래 나 솔직하게다 말할래너는 매일 어떤 사람 어떤 곳에몇 번씩이나 뭘 하는지 널 생각해Lost without you, baby[Chorus]I wish you would love me againNo, I don't want nobody elseI wish you could love me again, againI wish you would love me againNo, I don't want nobody elseI wish you could love me again, again"
61,61,spotify:track:11xC6P3iKYpFThT6Ce1KdG,Attention,Doja Cat,True,0.759,0.567,2,-7.911,0.248,0.118,0.0278,0.105,0.421,87.981,79,"[Pre-Chorus]Baby, if you like it, just reach out and pet itThis one doesn't bite, it doesn't get aggressiveShow you how to touch it, hold it like it's preciousIt don't need your lovin', it just needs attention[Chorus](Love me) It needs, it seeks affection(So sweet) Hungry, it fiends attention(Hungry) It needs, it seeks affection(Baby) Hungry, it fiends (Yeah, yeah)[Verse 1]Look at me, look at me, you lookin'?My taste good, but I just had to redirect my cookin'I coulda been an opener, I redirect the bookin'I readed all the comments sayin', ""D, I'm really shooketh""""D, you need to see a therapist, is you lookin'?""Yes, the one I got, they really are the bestNow I feel like I can see you bitches is depressedI am not afraid to finally say shit with my chestLost a lil' weight, but I ain't never lost a tushyLookin' good, but now my bald head match myLookin' good, but now they all sayin' that I'm uglyBoo-hoo, my nigga, I ain't sad you won't fuck meI'm sad that you really thought your ass was above meYou're lucky 'cause I just paid your bill with a replyI just made your money pile knee-highI just made your stats peak, now you got a blue checkNow you can afford to go and reinstall a new wigNow you can afford to not be lousy, go and do shitTalk your shit about me, I can easily disprove it, it's stupidYou follow me, but you don't really care about the music"
62,62,spotify:track:1yKgyRfo0B1RxLVnxU12iK,Heaven Tonight,Jaeger,False,0.599,0.833,1,-4.729,0.0554,0.0151,2.76e-05,0.24,0.474,106.05,46,[Verse 1]Out in the moonlightCaught up in your eyesMy heart open wideYeahLike we back in the 80’sDiamonds on the dailyYour love going crazy[Pre-Chorus]I’ll never let you go (never let you go)You’ll never be alone (never be alone)Girl I need you by my side (need you by my side)Wanna look into your eyes[Chorus]Oh II’ll be your heaven tonightI’ll be your heaven tonightOh II’ll be in heaven tonightI’ll be in heaven tonightYeah
63,63,spotify:track:26b3oVLrRUaaybJulow9kz,People,Libianca,False,0.573,0.422,10,-7.621,0.0678,0.551,1.31e-05,0.102,0.693,124.357,88,"[Intro: Libianca]Oh-oh-oh-ohMhmm, mhmmFrom Bamenda, it's LibiancaOh-oh (A-yo, Mage, you made a bang)[Refrain: Libianca]I've been drinking more alcohol for the past five daysDid you check on me?Now, did you look for me?I walked in the room, eyes are red and I don't smoke bangaDid you check on me? (Did you check on me?)Now, did you notice me?[Verse 1: Libianca]Nobody wey know the paranoia oh'Cause I put a smile on my faceA façade you can never face (Ooh)And if you don't know me well, well, ohYou won't see how buried I am inside my graveInside my grave[Chorus: Libianca]'Cause you see peoplе, people, peoplе, peopleDon't really know youThey don't really know you'Cause you see people, people, peopleThey don't really know youThey don't really know—"
64,64,spotify:track:7ro0hRteUMfnOioTFI5TG1,WHERE SHE GOES,Bad Bunny,True,0.652,0.8,9,-4.019,0.0614,0.143,0.629,0.112,0.234,143.978,93,"[Letra de ""WHERE SHE GOES""][Coro]Baby, dime la verdadSi te olvidaste de míYo sé que fue una noche na' má'Que no se vuelve a repetirTal ve' en ti quise encontrarLo que en otra perdíTu orgullo no me quiere hablarEntonce' vamo' a competir, a ver, ey[Verso 1]No me gusta perder (Ey), dime qué vamo' a hacerMe paso mirando el cel (Ah), wow, no puede ser (No, no)Aunque me tarde un poco, juro que vo'a responderQuisiera volverte a verQuisiera volverte a ver encima de mí brincando, uh, uh, uhLo rica que te ves chingando, uh, uh, uh (Ey, ey)No sé qué estamo' esperando (Dime)El orgullo nos está ganando, ey[Coro]Baby, dime la verdadSi te olvidaste de míYo sé que fue una noche na' má'Que no se vuelve a repetirTal ve' en ti quise encontrar, eyLo que en otra perdíTu orgullo no me quiere hablarEntonce' vamo' a competir, a ver, ey"
68,68,spotify:track:0LzidBf7cUsnZnG34OUPSF,Mosquito,PinkPantheress,False,0.71,0.899,11,-4.032,0.118,0.0857,0.112,0.189,0.555,162.927,75,"[Refrain]On a Monday, can I see you?Can I check my numbers? 'Cause I want toI know it's annoyin' how much I doSpendin' you the day that I want, the day that I wantAnother day then, maybe Tuesday?Can I spend a fortune? 'Cause I want toI know it's appallin' how I lose youSpendin' every day that I want, the day that I wantWhat happened to me?[Chorus]'Cause I just had a dream I was deadAnd I only cared 'cause I was taken from youYou're the only thing that I ownI hear my bell ring, I'd only answer for you[Post-Chorus](La-la-la-la-la-la-la-la, la-la, la-la, la-la, la-la)[Verse]I had prayed out loud and, Lord, you answered me too earlyI was too young startin' out, now I'm too scared that you might leave meI feel like I'm still a child because I always cross my fingersNow you're sittin' in accounts 'cause I'm too scared to take you outNow save me"
