,uri,track_name,artist,explicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,lyrics
46,spotify:track:6ic8OlLUNEATToEFU3xmaH,Gimme More,Britney Spears,False,0.788,0.844,2,-3.131,0.0334,0.25,0.000678,0.0723,0.382,113.324,82,"[Intro: Britney Spears]It's Britney, bitchI see youAnd I just wanna dance with you[Verse 1: Britney Spears]Every time they turn the lights downJust wanna go that extra mile for youPublic display of affection (Oh-oh-oh)Feels like no one else in the room (But you)[Pre-Chorus: Britney Spears]We can get downLike there's no one aroundWe keep on rocking (We keep on rocking)We keep on rocking (We keep on rocking)Cameras are flashingWhile we're dirty dancingThey keep watching (They keep watching)Keep watching, feels like the crowd is saying[Chorus: Britney Spears]Gimme, gimme (More), gimme (More)Gimme, gimme (More)Gimme, gimme (More), gimme (Mo')Gimme, gimme (More)Gimme, gimme (More), gimme (More)Gimme, gimme (More)Gimme, gimme (More), gimme (Mo')Gimme, gimme (More)"
47,spotify:track:1mHoqHeQClLBp5UO3TbUac,The Show,Lenka,False,0.753,0.59,0,-4.144,0.0317,0.259,0.0,0.0836,0.593,123.028,58,"[Intro]I'm just a little bit caught in the middleLife is a maze and love is a riddleI don't know where to go, can't do it alone, I've triedAnd I don't know why[Verse 1]Slow it down, make it stopOr else my heart is going to pop'Cause it's too much, yeah, it's a lotTo be something I'm notI'm a fool out of love'Cause I just can't get enough[Chorus]I'm just a little bit caught in the middleLife is a maze and love is a riddleI don't know where to go, can't do it alone, I've triedAnd I don't know whyI am just a little girl lost in the momentI'm so scared, but I don't show itI can't figure it outIt's bringing me down, I knowI've got to let it goAnd just enjoy the show"
48,spotify:track:1mZF9TEc7gpw7by7NCZSKr,3 Strikes,Terror Jr,True,0.599,0.432,5,-6.097,0.0451,0.62,0.00773,0.105,0.615,106.824,53,"[Intro]Down for one night, like I got three strikesDown for one night, like I got three strikesDown for one night, like I got three strikesDown for one night, like I got three strikes[Chorus: Chopped Vocals]-don me (ain't) -don me (yeah) -don me-don me, called on me, called on me-don me (ain't) -don me (yeah) -don me-don me, called on me, called on me[Verse 1]Doing like 95 on the interstateLooking for a dinner plateI'm hungry, you called meTo say you got something, and it's all me[Pre-Hook]Can you hold me down for one night, like I got three strikes?I need you to free me, it's a prison inside my mindBreak me, taste meRoll me up like the northern lightsCan you hold me down for one night, like I got three strikes?[Chorus: Chopped Vocals]-don me (ain't) -don me (yeah) -don me-don me, called on me, called on me-don me (ain't) -don me (yeah) -don me-don me, called on me, (like I got three strikes) called on me-don me (ain't) -don me (yeah) -don me-don me, called on me, called on me-don me (ain't) -don me (yeah) -don me-don me, called on me, (like I got three strikes) called on me"
50,spotify:track:4NOZ35Dhucr6UlVyLOtktd,Dangerous,Kardinal Offishall,True,0.949,0.79,8,-5.957,0.0756,0.00437,0.0,0.0816,0.807,117.002,75,"[Chorus: Akon]Girl, I can't notice but toNotice you noticin' meFrom across the room, I can see itAnd can't stop myself from lookin'And noticin' you noticin' meWatch out, I've seen her type beforeThat girl is so dangerousThat girl is so dangerousThat girl is a bad girlI've seen her type beforeShe's so dangerousThat girl is so dangerousThat girl is a bad girl, yeah[Verse 1: Kardinal Offishall]Whoah! And yeah, that's herThe big dog tryin' to get her little kitty to purrEx-man lookin' at me like I'm Lucifer'Cause he knows how I deal with the case, yes sir!If I was the last man on EarthI would only take that girl, end of searchShe give a new definition to the word curveGot chicks in the strip club envyin' herBody's like weapons of mass eruptionsSit her glass on that fat obstructionTongue game give a new type seductionI'm tryin' to give that girl somethin', jah!"
51,spotify:track:3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,Giveon,False,0.449,0.465,0,-8.964,0.0791,0.524,1.02e-06,0.303,0.543,89.087,82,"[Intro]Ooh[Verse 1]Balloons are deflatedGuess they look lifeless like meWe miss you on your side of the bed, mmmStill got your things hereAnd they stare at me like souvenirsDon't wanna let you out my head[Pre-Chorus]Just like the day that I met you, the day I thought foreverSaid that you love me, but that'll last for neverIt's cold outside like when you walked out my lifeWhy you walk out my life?[Chorus]I get like this every timeOn these days that feel like you and meHeartbreak anniversary'Cause I remember every timeOn these days that feel like you and meHeartbreak anniversary, do you ever think of me?(Oh-ooh) No(Ooh) No, no, no(Ooh, ooh) Ooh, nah (Ooh)"
52,spotify:track:3dI59jLoFMjMAyUAyRZnkE,BANG BANG BANG,BIGBANG,False,0.69,0.843,1,-2.949,0.0534,0.0167,0.0,0.346,0.428,135.01,68,"[빅뱅 ""뱅뱅뱅"" 가사][Intro: All]Oh, oh-oh, oh-oh-ohOh-oh-oh[Verse 1: Taeyang, T.O.P, T.O.P]난 깨어나, 까만 밤과 함께 (Hey)다 들어와, 담엔 누구 차례 (Hey)한 치 앞도 볼 수 없는 막장 게릴라 (Ay, ooh)경배하라, 목청이 터지게 (Oh; Yeah)Yo찌질한 분위기를 전환해광기를 감추지 못하게 해남자들의 품위, 여자들의 가식이유 모를 자신감이 볼만해 (볼만해)난 보란 듯이 너무나도 뻔뻔히네 몸속에 파고드는 앨러지이상한 정신의 술렁이는 천지오늘 여기 무법지[Pre-Chorus: Seungri, G-Dragon](Woo) 난 불을 질러(Woo) 심장을 태워(Woo) 널 미치게 하고 싶어B-I-GYeah, we bang like this모두 다 같이총 맞은 것처럼"
53,spotify:track:6Z8R6UsFuGXGtiIxiD8ISb,Safe And Sound,Capital Cities,False,0.655,0.819,0,-4.852,0.0316,0.000176,0.00374,0.104,0.766,117.956,84,[Verse 1]I could lift you upI could show you what you wanna seeAnd take you where you wanna beYou could be my luckEven if the sky is falling downI know that we'll be safe and sound[Chorus]We're safe and sound[Verse 2]I could fill your cupYou know my river won't evaporateThis world we still appreciateYou could be my luckEven in a hurricane of frownsI know that we'll be safe and sound[Chorus](Safe and sound)We're safe and sound(Safe and sound)We're safe and sound(Hold your ground)We're safe and sound(Safe and sound)
55,spotify:track:0ARK753YaiJbpLUk7z5yIM,Dilemma,Nelly,True,0.727,0.552,2,-8.074,0.14,0.227,0.000164,0.198,0.607,168.189,80,"[Intro: Nelly & Kelly Rowland]Uh, uhCheck it, check itUh, uh, uhI love youAnd I need youNelly, I (Uh) love youI do (Check it) need you[Chorus: Kelly Rowland & Nelly]No matter what I do (Woo!)All I think about is you (Uh-huh)Even when I'm with my booBoy, you know I'm crazy over you (Check it)No matter what I do (Check it, check it, check it)All I think about is you (Check it, check it, check it)Even when I'm with my boo (Check it, check it, check it)You know I'm crazy over you (Check it, check it, check it; uh, uh, uh, uh)[Verse 1: Nelly & Kelly Rowland]I met this chick and she just moved right up the block from meAnd, uh, she got the hots for me, the finest thing my hood done seenBut oh, no, noShe got a man and a son though, oh (Check it)But that's okay 'cause IWait for my cue and just listen, play my positionLike a shortstop, pick up e'rything, mami hittin'And in no time-imeI plan to make this one here mine-ineAnd that's for sure 'cause II've never been the type to break up a happy homeBut, uh, there's somethin' 'bout baby girl, I just can't leave aloneSo tell me, ma, what's it gonna be?She said, ""You don't know what you mean to me"" (Come on)"
58,spotify:track:6Uy6K3KdmUdAfelUp0SeXn,Brave,Sara Bareilles,False,0.551,0.836,10,-3.838,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063,70,"[Produced by Mark Endert][Verse 1]You can be amazingYou can turn a phrase into a weapon or a drugYou can be the outcastOr be the backlash of somebody’s lack of loveOr you can start speaking upNothing’s gonna hurt you the way that words doWhen they settle ‘neath your skinKept on the inside and no sunlightSometimes a shadow winsBut I wonder what would happen if you[Chorus]Say what you wanna sayAnd let the words fall outHonestly, I wanna see you be braveWith what you want to sayAnd let the words fall outHonestly, I wanna see you be brave[Post-Chorus]I just wanna see youI just wanna see youI just wanna see youI wanna see you be braveI just wanna see youI just wanna see youI just wanna see youI wanna see you be brave"
61,spotify:track:5wANPM4fQCJwkGd4rN57mH,drivers license,Olivia Rodrigo,True,0.561,0.431,10,-8.81,0.0578,0.768,1.42e-05,0.106,0.137,143.875,87,"[Verse 1]I got my driver's license last weekJust like we always talked about'Cause you were so excited for meTo finally drive up to your houseBut today, I drove through the suburbsCrying 'cause you weren't around[Verse 2]And you're probably with that blonde girlWho always made me doubtShe's so much older than meShe's everything I'm insecure aboutYeah, today, I drove through the suburbs'Cause how could I ever love someone else?[Chorus]And I know we weren't perfect, but I've never felt this way for no oneAnd I just can't imagine how you could be so okay now that I'm goneGuess you didn't mean what you wrote in that song about me'Cause you said forever, now I drive alone past your street[Verse 3]And all my friends are tiredOf hearing how much I miss you, butI kinda feel sorry for them'Cause they'll never know you the way that I doYeah, today, I drove through the suburbsAnd pictured I was driving home to you"
